t_s,pwm,power_w,t_sense_c,t_die_c,rpm,fan_power_rel
0.000,40.0000,150.0000,25.0625,25.1124,400.00,0.000019
0.100,40.0000,150.0000,25.0000,25.2217,773.33,0.000137
0.200,40.0000,150.0000,25.0000,25.3283,1121.78,0.000418
0.300,40.0000,150.0000,25.0000,25.4324,1446.99,0.000898
0.400,40.0000,150.0000,24.9375,25.5343,1750.53,0.001589
0.500,40.0000,150.0000,25.0625,25.6343,2033.82,0.002493
0.600,40.0000,150.0000,25.0000,25.7325,2298.24,0.003597
0.700,40.0000,150.0000,25.0000,25.8290,2545.02,0.004884
0.800,40.0000,150.0000,25.0000,25.9239,2775.35,0.006334
0.900,40.0000,150.0000,24.9375,26.0174,2990.33,0.007923
1.000,40.0000,150.0000,25.0000,26.1096,3190.97,0.009627
1.100,40.0000,150.0000,25.0625,26.2005,3378.24,0.011423
1.200,40.0000,150.0000,25.0625,26.2903,3553.03,0.013290
1.300,40.0000,150.0000,25.0000,26.3790,3716.16,0.015206
1.400,40.0000,150.0000,25.0625,26.4667,3868.41,0.017152
1.500,40.0000,150.0000,24.9375,26.5534,4010.52,0.019113
1.600,40.0000,150.0000,25.0000,26.6392,4143.15,0.021073
1.700,40.0000,150.0000,25.0000,26.7242,4266.94,0.023018
1.800,40.0000,150.0000,25.0625,26.8084,4382.48,0.024939
1.900,40.0000,150.0000,25.0000,26.8918,4490.31,0.026826
2.000,40.0000,150.0000,25.1250,26.9746,4590.96,0.028671
2.100,40.0000,150.0000,25.0000,27.0566,4684.90,0.030467
2.200,40.0000,150.0000,25.0000,27.1381,4772.57,0.032209
2.300,40.0000,150.0000,25.0625,27.2189,4854.40,0.033895
2.400,40.0000,150.0000,25.0625,27.2991,4930.77,0.035520
2.500,40.0000,150.0000,25.0000,27.3788,5002.05,0.037083
2.600,40.0000,150.0000,25.0000,27.4580,5068.58,0.038582
2.700,40.0000,150.0000,24.9375,27.5367,5130.68,0.040018
2.800,40.0000,150.0000,25.0000,27.6150,5188.63,0.041389
2.900,40.0000,150.0000,24.9375,27.6928,5242.72,0.042697
3.000,40.0000,150.0000,25.0000,27.7701,5293.21,0.043942
3.100,40.0000,150.0000,25.0000,27.8471,5340.33,0.045126
3.200,40.0000,150.0000,25.0000,27.9236,5384.31,0.046250
3.300,40.0000,150.0000,25.0000,27.9998,5425.35,0.047316
3.400,40.0000,150.0000,25.0000,28.0757,5463.66,0.048326
3.500,40.0000,150.0000,25.0000,28.1511,5499.42,0.049281
3.600,40.0000,150.0000,25.0625,28.2263,5532.79,0.050183
3.700,40.0000,150.0000,25.1875,28.3011,5563.94,0.051036
3.800,40.0000,150.0000,25.1875,28.3756,5593.01,0.051840
3.900,40.0000,150.0000,25.1875,28.4498,5620.14,0.052598
4.000,40.0000,150.0000,25.1250,28.5237,5645.47,0.053312
4.100,40.0000,150.0000,25.2500,28.5974,5669.10,0.053984
4.200,40.0000,150.0000,25.3125,28.6707,5691.16,0.054617
4.300,40.0000,150.0000,25.2500,28.7438,5711.75,0.055212
4.400,40.0000,150.0000,25.2500,28.8167,5730.97,0.055771
4.500,40.0000,150.0000,25.4375,28.8893,5748.90,0.056296
4.600,40.0000,150.0000,25.4375,28.9616,5765.64,0.056790
4.700,40.0000,150.0000,25.4375,29.0337,5781.27,0.057253
4.800,40.0000,150.0000,25.5000,29.1056,5795.85,0.057687
4.900,40.0000,150.0000,25.5625,29.1772,5809.46,0.058094
5.000,40.0000,150.0000,25.5000,29.2487,5822.16,0.058476
5.100,40.0000,150.0000,25.7500,29.3199,5834.02,0.058834
5.200,40.0000,150.0000,25.8125,29.3909,5845.08,0.059170
5.300,40.0000,150.0000,25.7500,29.4616,5855.41,0.059484
5.400,40.0000,150.0000,25.8750,29.5322,5865.05,0.059778
5.500,40.0000,150.0000,25.8125,29.6026,5874.05,0.060054
5.600,40.0000,150.0000,26.0000,29.6728,5882.44,0.060311
5.700,40.0000,150.0000,25.9375,29.7428,5890.28,0.060553
5.800,40.0000,150.0000,26.0625,29.8126,5897.60,0.060779
5.900,40.0000,150.0000,26.1250,29.8822,5904.42,0.060990
6.000,40.0000,150.0000,26.1250,29.9516,5910.79,0.061188
6.100,40.0000,150.0000,26.2500,30.0208,5916.74,0.061373
6.200,40.0000,150.0000,26.2500,30.0899,5922.29,0.061545
6.300,40.0000,150.0000,26.2500,30.1588,5927.47,0.061707
6.400,40.0000,150.0000,26.3750,30.2275,5932.31,0.061858
6.500,40.0000,150.0000,26.4375,30.2960,5936.82,0.061999
6.600,40.0000,150.0000,26.5000,30.3644,5941.03,0.062132
6.700,40.0000,150.0000,26.5625,30.4325,5944.96,0.062255
6.800,40.0000,150.0000,26.6875,30.5006,5948.63,0.062370
6.900,40.0000,150.0000,26.6875,30.5684,5952.06,0.062478
7.000,40.0000,150.0000,26.7500,30.6361,5955.25,0.062579
7.100,40.0000,150.0000,26.7500,30.7036,5958.24,0.062673
7.200,40.0000,150.0000,26.8750,30.7709,5961.02,0.062761
7.300,40.0000,150.0000,27.0000,30.8381,5963.62,0.062843
7.400,40.0000,150.0000,27.0000,30.9051,5966.04,0.062920
7.500,40.0000,150.0000,27.0000,30.9720,5968.31,0.062991
7.600,40.0000,150.0000,27.1875,31.0387,5970.42,0.063058
7.700,40.0000,150.0000,27.1875,31.1053,5972.39,0.063121
7.800,40.0000,150.0000,27.1875,31.1717,5974.23,0.063179
