repeat,requested_mC,qom_readback_mC,hwmon_mC,expected_mC,bias_mC,settle_s
0,40000,39996,39938,39938,-62,3.44
0,41000,40996,40938,40938,-62,1.57
0,42000,41996,41938,41938,-62,1.53
0,42500,42496,42438,42438,-62,1.56
0,45000,44996,44938,44938,-62,1.56
0,55000,54996,54938,54938,-62,1.55
0,60000,59996,59938,59938,-62,1.53
1,40000,39996,39938,39938,-62,1.53
1,41000,40996,40938,40938,-62,1.56
1,42000,41996,41938,41938,-62,1.57
1,42500,42496,42438,42438,-62,1.95
1,45000,44996,44938,44938,-62,1.55
1,55000,54996,54938,54938,-62,1.54
1,60000,59996,59938,59938,-62,1.57
2,40000,39996,39938,39938,-62,1.54
2,41000,40996,40938,40938,-62,1.53
2,42000,41996,41938,41938,-62,1.54
2,42500,42496,42438,42438,-62,1.56
2,45000,44996,44938,44938,-62,1.57
2,55000,54996,54938,54938,-62,1.56
2,60000,59996,59938,59938,-62,1.54
3,40000,39996,39938,39938,-62,1.92
3,41000,40996,40938,40938,-62,1.53
3,42000,41996,41938,41938,-62,1.55
3,42500,42496,42438,42438,-62,1.54
3,45000,44996,44938,44938,-62,1.54
3,55000,54996,54938,54938,-62,1.55
3,60000,59996,59938,59938,-62,1.92
4,40000,39996,39938,39938,-62,1.55
4,41000,40996,40938,40938,-62,1.54
4,42000,41996,41938,41938,-62,1.56
4,42500,42496,42438,42438,-62,1.57
4,45000,44996,44938,44938,-62,1.55
4,55000,54996,54938,54938,-62,1.93
4,60000,59996,59938,59938,-62,1.54
