transition,from_mC,requested_mC,expected_mC,elapsed_ms,value_mC
0,29938,50000,49938,1.1,29938
0,29938,50000,49938,57.6,29938
0,29938,50000,49938,113.8,29938
0,29938,50000,49938,177.6,49938
0,29938,50000,49938,227.6,49938
0,29938,50000,49938,287.9,49938
0,29938,50000,49938,340.7,49938
0,29938,50000,49938,391.2,49938
1,49938,30000,29938,1.3,49938
1,49938,30000,29938,48.6,49938
1,49938,30000,29938,95.0,49938
1,49938,30000,29938,142.1,49938
1,49938,30000,29938,191.1,49938
1,49938,30000,29938,238.3,49938
1,49938,30000,29938,290.7,49938
1,49938,30000,29938,341.6,49938
1,49938,30000,29938,391.3,29938
1,49938,30000,29938,438.8,29938
1,49938,30000,29938,486.1,29938
1,49938,30000,29938,533.9,29938
1,49938,30000,29938,581.1,29938
1,49938,30000,29938,629.7,29938
2,29938,50000,49938,1.0,29938
2,29938,50000,49938,50.9,29938
2,29938,50000,49938,98.3,29938
2,29938,50000,49938,148.4,29938
2,29938,50000,49938,196.2,29938
2,29938,50000,49938,243.8,29938
2,29938,50000,49938,289.6,29938
2,29938,50000,49938,336.1,49938
2,29938,50000,49938,383.4,49938
2,29938,50000,49938,433.6,49938
2,29938,50000,49938,488.5,49938
2,29938,50000,49938,542.2,49938
3,49938,30000,29938,1.2,49938
3,49938,30000,29938,78.7,49938
3,49938,30000,29938,130.5,49938
3,49938,30000,29938,184.9,49938
3,49938,30000,29938,236.3,49938
3,49938,30000,29938,296.8,49938
3,49938,30000,29938,351.4,29938
3,49938,30000,29938,421.8,29938
3,49938,30000,29938,480.2,29938
3,49938,30000,29938,541.2,29938
3,49938,30000,29938,594.6,29938
4,29938,50000,49938,1.2,29938
4,29938,50000,49938,54.5,29938
4,29938,50000,49938,106.8,29938
4,29938,50000,49938,159.9,29938
4,29938,50000,49938,211.7,29938
4,29938,50000,49938,261.6,49938
4,29938,50000,49938,351.2,49938
4,29938,50000,49938,414.1,49938
4,29938,50000,49938,467.4,49938
5,49938,30000,29938,1.5,49938
5,49938,30000,29938,65.4,49938
5,49938,30000,29938,118.3,49938
5,49938,30000,29938,166.8,49938
5,49938,30000,29938,218.5,49938
5,49938,30000,29938,273.7,49938
5,49938,30000,29938,321.6,49938
5,49938,30000,29938,372.5,49938
5,49938,30000,29938,422.7,29938
5,49938,30000,29938,473.6,29938
5,49938,30000,29938,520.1,29938
5,49938,30000,29938,566.1,29938
5,49938,30000,29938,613.6,29938
5,49938,30000,29938,664.3,29938
