requested_mC,qom_readback_mC,hwmon_mC,expected_mC,settle_s
42000,41996,41938,41938,1.54
42010,42008,42000,42000,1.55
42020,42016,42000,42000,1.19
42030,42027,42000,42000,1.16
42040,42039,42000,42000,1.16
42050,42047,42000,42000,1.21
42060,42059,42000,42000,1.16
42070,42066,42063,42063,1.93
42080,42078,42063,42063,1.19
42090,42086,42063,42063,1.20
42100,42098,42063,42063,1.17
42110,42109,42063,42063,1.19
42120,42117,42063,42063,1.15
42130,42129,42125,42125,1.55
42140,42137,42125,42125,1.16
42150,42148,42125,42125,1.18
42160,42156,42125,42125,1.17
42170,42168,42125,42125,1.18
42180,42176,42125,42125,1.16
42190,42188,42188,42188,1.54
42200,42199,42188,42188,1.16
42210,42207,42188,42188,1.18
42220,42219,42188,42188,1.18
42230,42227,42188,42188,1.17
42240,42238,42188,42188,1.16
42250,42246,42188,42188,1.17
42260,42258,42250,42250,1.91
42270,42266,42250,42250,1.17
42280,42277,42250,42250,1.18
42290,42289,42250,42250,1.19
42300,42297,42250,42250,1.17
42310,42309,42250,42250,1.16
42320,42316,42313,42313,1.57
