epoch_ms,setpt,requester,fan0,fan0_raw,fan0_pwm,fan0_pwm_raw,die0,die0_raw,failsafe
1786401773742,3000,Minimum,3421,3421,nan,nan,25,25,0
1786401773842,3000,Minimum,3491,3491,0.3,-1,25,25,0
1786401773942,3000,Minimum,3556,3556,0.3,-1,25,25,0
1786401774042,3000,Minimum,3617,3617,0.3,-1,25,25,0
1786401774142,3000,Minimum,3674,3674,0.3,-1,25,25,0
1786401774242,3000,Minimum,3727,3727,0.3,-1,25,25,0
1786401774342,3000,Minimum,3777,3777,0.3,-1,25,25,0
1786401774442,3000,Minimum,3823,3823,0.3,-1,25,25,0
1786401774542,3000,Minimum,3866,3866,0.3,-1,25,25,0
1786401774642,3000,Minimum,3906,3906,0.3,-1,25,25,0
1786401774742,3000,Minimum,3944,3944,0.3,-1,25,25,0
1786401774842,3000,Minimum,3979,3979,0.3,-1,25,25,0
1786401774942,3000,Minimum,4012,4012,0.3,-1,25,25,0
1786401775042,3000,Minimum,4042,4042,0.3,-1,25,25,0
1786401775142,3000,Minimum,4071,4071,0.3,-1,25,25,0
1786401775242,3000,Minimum,4098,4098,0.3,-1,25,25,0
1786401775342,3000,Minimum,4122,4122,0.3,-1,25,25,0
1786401775442,3000,Minimum,4146,4146,0.3,-1,25,25,0
1786401775542,3000,Minimum,4167,4167,0.3,-1,25,25,0
1786401775642,3000,Minimum,4188,4188,0.3,-1,25,25,0
1786401775742,3000,Minimum,4206,4206,0.3,-1,25,25,0
1786401775842,3000,Minimum,4224,4224,0.3,-1,25.1875,25.1875,0
1786401775943,3000,Minimum,4240,4240,0.3,-1,25.1875,25.1875,0
1786401776042,3000,Minimum,4256,4256,0.3,-1,25.1875,25.1875,0
1786401776142,3000,Minimum,4270,4270,0.3,-1,25.1875,25.1875,0
1786401776242,3000,Minimum,4283,4283,0.3,-1,25.1875,25.1875,0
1786401776342,3000,Minimum,4296,4296,0.3,-1,25.1875,25.1875,0
1786401776442,3000,Minimum,4308,4308,0.3,-1,25.1875,25.1875,0
1786401776542,3000,Minimum,4318,4318,0.3,-1,25.1875,25.1875,0
1786401776642,3000,Minimum,4329,4329,0.3,-1,25.1875,25.1875,0
