rep,level_c,expected_c,t_qmp_before,t_inject,warmup,t_dbus_bmc,t_zone_bmc,t_setpt_bmc,t_pwm_bmc,t_redfish,max_gap_s,redfish_gap_s,seg2_s,seg3_s,total_redfish_s
0,90.0,89.938,1786481682.831857,1786481682.832988,True,1786481683.076516,1786481683.573,1786481683.573,1786481683.573,1786481683.685204,0.1399998664855957,0.496366024017334,0.49648404121398926,0.0,0.8522160053253174
1,55.0,54.938,1786481690.833333,1786481690.83441,True,1786481689.642955,1786481690.573,1786481690.573,1786481690.573,1786481691.458452,0.1100001335144043,0.5808730125427246,0.9300448894500732,0.0,0.6240420341491699
2,90.0,89.938,1786481698.834572,1786481698.835339,False,1786481696.672648,1786481697.573,1786481697.573,1786481697.573,1786481700.090556,0.11099982261657715,0.567180871963501,0.9003520011901855,0.0,1.2552168369293213
3,55.0,54.938,1786481707.722207,1786481707.723,False,1786481703.21156,1786481703.573,1786481703.573,1786481703.573,1786481708.840935,0.10699987411499023,0.5210449695587158,0.36143994331359863,0.0,1.1179349422454834
4,90.0,89.938,1786481715.723185,1786481715.723923,False,1786481709.762538,1786481710.575,1786481710.575,1786481710.575,1786481716.344386,0.1119999885559082,0.5329270362854004,0.8124620914459229,0.0,0.6204631328582764
5,55.0,54.938,1786481723.724135,1786481723.725291,False,1786481723.923941,1786481724.164,1786481724.164,1786481724.164,1786481724.589934,0.11800003051757812,0.9111690521240234,0.24005913734436035,0.0,0.8646430969238281
6,90.0,89.938,1786481731.725464,1786481731.726094,False,1786481730.524674,1786481731.164,1786481731.164,1786481731.164,1786481732.499725,0.10700011253356934,0.6140069961547852,0.6393260955810547,0.0,0.7736310958862305
7,55.0,54.938,1786481740.673586,1786481740.674492,False,1786481737.517079,1786481738.164,1786481738.164,1786481738.164,1786481741.683888,0.11400008201599121,0.3942680358886719,0.646920919418335,0.0,1.0093960762023926
8,90.0,89.938,1786481748.674726,1786481748.675394,False,1786481744.553484,1786481745.164,1786481745.164,1786481745.164,1786481749.862693,0.10700011253356934,0.4617910385131836,0.6105160713195801,0.0,1.1872990131378174
9,55.0,54.938,1786481756.6756,1786481756.676464,False,1786481750.584533,1786481751.172,1786481751.172,1786481751.172,1786481757.32447,0.10800004005432129,0.3867459297180176,0.5874669551849365,0.0,0.6480059623718262
10,90.0,89.938,1786481764.676613,1786481764.677275,False,1786481765.104437,1786481765.615,1786481765.615,1786481765.615,1786481765.660551,0.10199999809265137,0.37065815925598145,0.5105628967285156,0.0,0.9832761287689209
11,55.0,54.938,1786481773.51592,1786481773.516717,False,1786481771.653053,1786481772.615,1786481772.615,1786481772.615,1786481774.315736,0.1809999942779541,0.48410797119140625,0.961946964263916,0.0,0.7990190982818604
12,90.0,89.938,1786481781.51702,1786481781.51772,False,1786481778.3466,1786481778.615,1786481778.615,1786481778.615,1786481782.763702,0.10800004005432129,0.5479788780212402,0.2683999538421631,0.0,1.2459819316864014
13,55.0,54.938,1786481789.517913,1786481789.518656,False,1786481784.908858,1786481785.632,1786481785.632,1786481785.632,1786481790.252368,0.10899996757507324,0.4166860580444336,0.7231419086456299,0.0,0.7337119579315186
14,90.0,89.938,1786481797.518882,1786481797.51949,False,1786481791.433546,1786481791.616,1786481791.616,1786481791.616,1786481798.161386,0.10800004005432129,0.3480238914489746,0.18245387077331543,0.0,0.6418960094451904
15,55.0,54.938,1786481806.386219,1786481806.386862,False,1786481805.947821,1786481806.108,1786481806.108,1786481806.108,1786481807.590511,0.11800003051757812,0.43777918815612793,0.16017913818359375,0.0,1.2036490440368652
16,90.0,89.938,1786481814.386971,1786481814.387579,False,1786481812.012747,1786481813.104,1786481813.104,1786481813.104,1786481814.75853,0.10800004005432129,0.4183218479156494,1.0912530422210693,0.0,0.37095093727111816
17,55.0,54.938,1786481822.387691,1786481822.388331,False,1786481818.563366,1786481819.104,1786481819.104,1786481819.104,1786481822.533458,0.16899991035461426,0.46253490447998047,0.5406341552734375,0.0,0.1451270580291748
18,90.0,89.938,1786481830.388518,1786481830.389166,False,1786481825.583224,1786481826.104,1786481826.104,1786481826.104,1786481830.888834,0.10899996757507324,0.4387059211730957,0.5207760334014893,0.0,0.4996678829193115
20,90.0,89.938,1786481847.278607,1786481847.279329,False,1786481846.176371,1786481846.593,1786481846.593,1786481846.593,1786481847.50139,0.10700011253356934,0.41465187072753906,0.4166288375854492,0.0,0.2220609188079834
21,55.0,54.938,1786481855.279448,1786481855.280334,False,1786481853.230244,1786481853.593,1786481853.593,1786481853.593,1786481856.136412,0.10700011253356934,0.42638707160949707,0.36275601387023926,0.0,0.8560779094696045
22,90.0,89.938,1786481863.280565,1786481863.281455,False,1786481859.863447,1786481860.592,1786481860.592,1786481860.592,1786481864.78971,0.19700002670288086,0.7524011135101318,0.728553056716919,0.0,1.5082550048828125
23,55.0,54.938,1786481871.281654,1786481871.282294,False,1786481866.42803,1786481866.6,1786481866.6,1786481866.6,1786481872.64424,0.11599993705749512,1.2720458507537842,0.17196989059448242,0.0,1.3619458675384521
