rep,level_c,expected_c,t_qmp_before,t_inject,warmup
0,90.0,89.938,1786481682.831857,1786481682.832988,1
1,55.0,54.938,1786481690.833333,1786481690.834410,1
2,90.0,89.938,1786481698.834572,1786481698.835339,0
3,55.0,54.938,1786481707.722207,1786481707.723000,0
4,90.0,89.938,1786481715.723185,1786481715.723923,0
5,55.0,54.938,1786481723.724135,1786481723.725291,0
6,90.0,89.938,1786481731.725464,1786481731.726094,0
7,55.0,54.938,1786481740.673586,1786481740.674492,0
8,90.0,89.938,1786481748.674726,1786481748.675394,0
9,55.0,54.938,1786481756.675600,1786481756.676464,0
10,90.0,89.938,1786481764.676613,1786481764.677275,0
11,55.0,54.938,1786481773.515920,1786481773.516717,0
12,90.0,89.938,1786481781.517020,1786481781.517720,0
13,55.0,54.938,1786481789.517913,1786481789.518656,0
14,90.0,89.938,1786481797.518882,1786481797.519490,0
15,55.0,54.938,1786481806.386219,1786481806.386862,0
16,90.0,89.938,1786481814.386971,1786481814.387579,0
17,55.0,54.938,1786481822.387691,1786481822.388331,0
18,90.0,89.938,1786481830.388518,1786481830.389166,0
19,55.0,54.938,1786481839.277812,1786481839.278462,0
20,90.0,89.938,1786481847.278607,1786481847.279329,0
21,55.0,54.938,1786481855.279448,1786481855.280334,0
22,90.0,89.938,1786481863.280565,1786481863.281455,0
23,55.0,54.938,1786481871.281654,1786481871.282294,0
24,90.0,89.938,1786481880.136076,1786481880.136748,0
25,55.0,54.938,1786481888.136987,1786481888.137663,0
26,90.0,89.938,1786481896.137880,1786481896.138590,0
27,55.0,54.938,1786481904.138831,1786481904.139570,0
28,90.0,89.938,1786481913.012226,1786481913.012921,0
29,55.0,54.938,1786481921.013063,1786481921.013713,0
30,90.0,89.938,1786481929.013866,1786481929.014531,0
31,55.0,54.938,1786481937.014726,1786481937.015337,0
