t_before,t_after,reading
1786481667.830521,1786481669.232692,69.938
1786481669.283069,1786481670.051745,69.938
1786481670.102183,1786481670.806741,69.938
1786481670.856965,1786481671.373960,69.938
1786481671.424226,1786481673.449013,69.938
1786481673.499273,1786481674.006827,69.938
1786481674.056950,1786481674.418254,69.938
1786481674.468467,1786481674.852218,69.938
1786481674.902411,1786481675.266798,69.938
1786481675.316941,1786481675.717088,69.938
1786481675.767308,1786481676.012397,69.938
1786481676.062619,1786481676.302723,69.938
1786481676.352918,1786481676.618846,69.938
1786481676.669009,1786481676.913361,69.938
1786481676.963572,1786481677.295623,69.938
1786481677.345738,1786481677.745781,69.938
1786481677.795837,1786481678.180383,69.938
1786481678.230466,1786481678.593513,69.938
1786481678.643660,1786481678.976486,69.938
1786481679.026553,1786481679.257621,69.938
1786481679.307766,1786481679.550610,69.938
1786481679.600877,1786481679.834569,69.938
1786481679.884758,1786481680.829062,69.938
1786481680.879210,1786481681.343745,69.938
1786481681.393889,1786481681.838960,69.938
1786481681.889086,1786481682.355508,69.938
1786481682.405632,1786481682.740458,69.938
1786481682.790589,1786481683.236824,69.938
1786481683.287074,1786481683.685204,89.938
1786481683.735408,1786481684.008982,89.938
1786481684.059127,1786481684.337955,89.938
1786481684.388148,1786481684.750691,89.938
1786481684.800839,1786481685.185357,89.938
1786481685.235477,1786481685.638350,89.938
1786481685.688478,1786481686.099505,89.938
1786481686.149624,1786481686.589859,89.938
1786481686.640012,1786481686.959636,89.938
1786481687.009769,1786481687.291508,89.938
1786481687.341626,1786481687.662529,89.938
1786481687.712673,1786481688.046491,89.938
1786481688.096759,1786481688.588137,89.938
1786481688.638275,1786481689.202522,89.938
1786481689.252676,1786481689.765913,89.938
1786481689.816071,1786481690.333986,89.938
1786481690.384150,1786481690.877579,89.938
1786481690.927671,1786481691.458452,54.938
1786481691.508613,1786481691.888152,54.938
1786481691.938302,1786481692.254494,54.938
1786481692.304646,1786481692.608654,54.938
1786481692.658775,1786481693.100400,54.938
1786481693.150515,1786481693.709833,54.938
1786481693.759998,1786481694.362873,54.938
1786481694.413012,1786481694.905228,54.938
1786481694.955359,1786481695.402307,54.938
1786481695.452412,1786481696.046252,54.938
1786481696.096388,1786481696.383069,54.938
1786481696.433388,1786481696.720532,54.938
1786481696.770703,1786481697.091218,54.938
1786481697.141414,1786481697.493457,54.938
1786481697.543588,1786481698.023183,54.938
1786481698.073360,1786481698.585025,54.938
1786481698.635232,1786481699.012445,54.938
1786481699.062642,1786481699.523375,54.938
1786481699.573545,1786481700.090556,89.938
1786481700.140658,1786481700.472329,89.938
1786481700.522553,1786481700.853968,89.938
1786481700.904232,1786481701.179564,89.938
1786481701.230053,1786481701.684889,89.938
1786481701.735379,1786481702.182012,89.938
1786481702.232433,1786481702.631415,89.938
1786481702.681826,1786481703.115882,89.938
1786481703.166360,1786481703.623872,89.938
1786481703.674273,1786481704.107517,89.938
1786481704.158024,1786481704.449954,89.938
1786481704.500561,1786481704.801735,89.938
1786481704.852223,1786481706.049593,89.938
1786481706.100011,1786481706.445005,89.938
1786481706.495476,1786481706.917402,89.938
1786481706.967537,1786481707.352650,89.938
1786481707.402770,1786481707.873695,89.938
1786481707.923885,1786481708.335109,89.938
1786481708.385334,1786481708.840935,54.938
1786481708.891111,1786481709.194523,54.938
1786481709.244696,1786481709.564879,54.938
1786481709.615106,1786481709.897852,54.938
1786481709.948288,1786481710.202347,54.938
1786481710.252498,1786481710.633411,54.938
1786481710.683590,1786481711.044038,54.938
